id,name,price,category,condition,enStock,description,imagenUrl
p1,HP Elitebook 840 G4,900,laptops-usadas,Usado,TRUE,"Procesador Intel core i5 de octava generación, memoria ram de 8gb, disco sólido de 240gb, pantalla HD de 14"".",
p2,Lenovo Thinkpad E14,1200,laptops-usadas,Usado,TRUE,"Procesador core i7 de decima generación, memoria ram de 16gb, disco sólido M.2 de 512gb, tarjeta de video dedicado de 2Gb, pantalla FHD de 14"".",
p3,Lenovo Thinkpad X1 Carbón,850,laptops-usadas,Usado,TRUE,"Procesador Intel core i7 de sexta generación, memoria ram de 16gb, disco sólido M.2 de 256Gb, pantalla FHD de 14"".",
p4,Laptop Lenovo Ideapad GAMING,1800,laptops-usadas,Usado,TRUE,"Procesador core i5 de décima generación, memoria ram de 16gb, disco sólido de 250gb + disco duro de 1Tb, pantalla FHD de 15.6"", teclado iluminado, tarjeta de video dedicado GTX1650 de 4GB.",
p5,HP Elitebook 640,950,laptops-usadas,Usado,TRUE,"Procesador core i5 de octava generación, memoria ram de 8gb, disco sólido m.2. 256gb, pantalla de 14"".",
c1,Procesador AMD Ryzen 5 5600GT,600,componentes,Nuevo,TRUE,3.6GHz Base / 4.6GHz Max con gráficos integrados.,
c2,Procesador Intel Core i5 12400,850,componentes,Nuevo,TRUE,"2.50GHz Base / 4.40GHz Max, 18MB Caché, LGA 1700.",
c3,Combo Teclado y Mouse Logitech MK120,60,componentes,Nuevo,TRUE,Combo de teclado y mouse duradero con conexión USB.,
c4,Placa Madre Gigabyte H610M,325,componentes,Nuevo,TRUE,"Socket LGA 1700, ideal para procesadores Intel de 12va generación.",
s1,Mantenimiento Preventivo (Laptop/PC),0,servicios,,TRUE,"Limpieza interna, cambio de pasta térmica y optimización de sistema.",
s2,Instalación de Sistema Operativo,0,servicios,,TRUE,Instalación limpia de Windows 10/11 o Linux con drivers y programas básicos.,
s3,Diagnóstico de Hardware,0,servicios,,TRUE,Revisión completa para detectar fallas en componentes (Se descuenta si se realiza la reparación).,
promo1,,,,promociones,,TRUE,,https://images.unsplash.com/photo-1607082348824-0a96f2a4b9da?auto=format&fit=crop&q=80&w=1200
promo2,,,,promociones,,TRUE,,https://images.unsplash.com/photo-1607082350899-7e105aa886ae?auto=format&fit=crop&q=80&w=1200
